Number	Name	Type	Angle around circle of radar	Blip Edit Status	Blip Quadrant	Blip Ring	Brand Value	Cost	Cost Reduction	Created	Date last modified	Distance from center of Radar	Due Date	Estimate	Event Date	Event Type	IsFaded	Location	Market Size	Owner	Pricing Power	Priority	Status	Target Quarter	URL	URL - Shortened	URL label	Value	Events	Events - Event	Stories	Stories - Story	Technologies	Technologies - Technology	Created by	Modified by
223	Message Buses without smarts	Blip	85		Tools	Trial					2010-8	140																	no		no		no		skseth	jnorris
221	Polyglot Persistence	Blip	7	In Editing	Tools	Trial					2012-1	225								psadalag					http://martinfowler.com/bliki/PolyglotPersistence.html				no		no		no		skseth	edoernen
216	Github	Blip	65		Tools	Adopt					2011-7	110								nford									no		no		no		skseth	jnorris
215	Cross Platform Mobile Toolkits	Blip	18		Tools	Hold					2011-7	375								icartwri									no		no		no		skseth	jnorris
213	Enterprise Service Bus	Blip	36	Include w/o Write Up	Tools	Hold					2010-8	375																	no		no		no		skseth	jnorris
210	Evolutionary database	Blip	158		Techniques	Adopt					2011-7	50								psadalag									no		no		no		skseth	jnorris
209	Emergent design	Blip	100	In Editing	Techniques	Adopt					2010-8	75								nford									no		no		no		skseth	jnorris
207	Data visualizations of development and operations	Blip	148	In Editing	Techniques	Adopt					2011-7	75								nford									no		no		no		skseth	jnorris
206	Coding architects	Blip	175	Include w/o Write Up	Techniques	Adopt					2010-8	70								wlistvan									no		no		no		skseth	jnorris
205	Evolutionary architecture	Blip	112	In Editing	Techniques	Adopt					2011-7	140								rjparson									no		no		no		skseth	rjparson
199	DevOps	Blip	157	Include w/o Write Up	Techniques	Adopt					2011-7	90													http://www.jedi.be/blog/2010/02/12/what-is-this-devops-thing-anyway/		What is this DevOps thing, anyway?		no		no		no		skseth	jnorris
197	Scrum certification	Blip	105	Include w/o Write Up	Techniques	Hold						375																	no		no		no		skseth	jnorris
196	Database based integration	Blip	120	Include w/o Write Up	Techniques	Hold					2010-8	375								psadalag									no		no		no		skseth	jnorris
